36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:33:52.0 (97079593)|VARIABLE_ASSIGNMENT|[11]|task|{"Name":"TestTask1","Type__c":"Daily","Contact__c":"003f400000Pu06nAAB","Status__c":"New","Difficulty__c":"Hard"}|0x7dd70cab
11:33:52.0 (97090438)|STATEMENT_EXECUTE|[12]
11:33:52.0 (97148510)|HEAP_ALLOCATE|[12]|Bytes:8
11:33:52.0 (97169091)|DML_BEGIN|[12]|Op:Upsert|Type:HTask__c|Rows:1
11:33:52.0 (97203897)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (112669327)|CODE_UNIT_STARTED|[EXTERNAL]|Validation:HTask:new
11:33:52.0 (112691565)|VALIDATION_RULE|03df40000002ejE|ContactRequired
11:33:52.0 (112869846)|VALIDATION_FORMULA|ISBLANK(Contact__c)|Contact__c=003f400000Pu06n
11:33:52.0 (112882350)|VALIDATION_PASS
11:33:52.0 (112885844)|VALIDATION_RULE|03df40000002ejO|DificultyRequired
11:33:52.0 (112976799)|VALIDATION_FORMULA|ISBLANK(TEXT(Difficulty__c))|Difficulty__c=Hard
11:33:52.0 (112983988)|VALIDATION_PASS
11:33:52.0 (112986521)|VALIDATION_RULE|03df40000002bNN|StatusNone
11:33:52.0 (113129873)|VALIDATION_FORMULA|TEXT(Status__c) <> 'New'  
&& TEXT(Status__c) <> 'In Progress'
&& TEXT(Status__c) <> 'Completed'|Status__c=New
11:33:52.0 (113141795)|VALIDATION_PASS
11:33:52.0 (113251252)|CODE_UNIT_FINISHED|Validation:HTask:new
11:33:52.0 (131485747)|DML_END|[12]
11:33:52.0 (131533281)|STATEMENT_EXECUTE|[14]
11:33:52.0 (131545092)|HEAP_ALLOCATE|[14]|Bytes:70
11:33:52.0 (131598460)|HEAP_ALLOCATE|[14]|Bytes:4
11:33:52.0 (131956699)|SOQL_EXECUTE_BEGIN|[14]|Aggregations:0|SELECT Id, Status__c, Points__c FROM HTask__c WHERE Name = 'TestTask1'
11:33:52.0 (155491976)|SOQL_EXECUTE_END|[14]|Rows:1
11:33:52.0 (155531800)|HEAP_ALLOCATE|[14]|Bytes:8
11:33:52.0 (155555144)|HEAP_ALLOCATE|[14]|Bytes:94
11:33:52.0 (155655399)|HEAP_ALLOCATE|[14]|Bytes:8
11:33:52.0 (155681808)|HEAP_ALLOCATE|[14]|Bytes:34
11:33:52.0 (155739876)|HEAP_ALLOCATE|[14]|Bytes:16
11:33:52.0 (155797812)|VARIABLE_ASSIGNMENT|[14]|task|{"Id":"a00f4000009W3eLAAS","Status__c":"New","Points__c":2.50}|0x408912bf
11:33:52.0 (155807357)|STATEMENT_EXECUTE|[15]
11:33:52.0 (155811827)|HEAP_ALLOCATE|[15]|Bytes:9
11:33:52.0 (155868832)|VARIABLE_ASSIGNMENT|[15]|this.Status__c|"Completed"|0x408912bf
11:33:52.0 (155875516)|STATEMENT_EXECUTE|[16]
11:33:52.0 (155914606)|HEAP_ALLOCATE|[16]|Bytes:8
11:33:52.0 (155925233)|DML_BEGIN|[16]|Op:Upsert|Type:HTask__c|Rows:1
11:33:52.0 (155958921)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (163587091)|CODE_UNIT_STARTED|[EXTERNAL]|Validation:HTask:a00f4000009W3eL
11:33:52.0 (163773254)|VALIDATION_RULE|03df40000002ejE|ContactRequired
11:33:52.0 (163885035)|VALIDATION_FORMULA|ISBLANK(Contact__c)|Contact__c=003f400000Pu06n
11:33:52.0 (163892723)|VALIDATION_PASS
11:33:52.0 (163895932)|VALIDATION_RULE|03df40000002ejO|DificultyRequired
11:33:52.0 (163959828)|VALIDATION_FORMULA|ISBLANK(TEXT(Difficulty__c))|Difficulty__c=Hard
11:33:52.0 (163965537)|VALIDATION_PASS
11:33:52.0 (163967418)|VALIDATION_RULE|03df40000002bNN|StatusNone
11:33:52.0 (164060658)|VALIDATION_FORMULA|TEXT(Status__c) <> 'New'  
&& TEXT(Status__c) <> 'In Progress'
&& TEXT(Status__c) <> 'Completed'|Status__c=Completed
11:33:52.0 (164067351)|VALIDATION_PASS
11:33:52.0 (164138278)|CODE_UNIT_FINISHED|Validation:HTask:a00f4000009W3eL
11:33:52.0 (180205405)|CODE_UNIT_STARTED|[EXTERNAL]|01qf4000001HypC|completeHTaskTrigger on HTask trigger event AfterUpdate
11:33:52.0 (180295576)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (180339072)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (180517215)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:10
11:33:52.0 (180548675)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:33:52.0 (180558972)|VARIABLE_SCOPE_BEGIN|[1]|this|completeHTaskTrigger|true|false
11:33:52.0 (180601981)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7c5d8e8e
11:33:52.0 (180664084)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
11:33:52.0 (180686610)|VARIABLE_SCOPE_BEGIN|[1]|this|completeHTaskTrigger|true|false
11:33:52.0 (180701422)|VARIABLE_ASSIGNMENT|[1]|this|{}|0x7c5d8e8e
11:33:52.0 (180709570)|STATEMENT_EXECUTE|[1]
11:33:52.0 (180711901)|STATEMENT_EXECUTE|[3]
11:33:52.0 (180716523)|HEAP_ALLOCATE|[3]|Bytes:99
11:33:52.0 (180738966)|HEAP_ALLOCATE|[3]|Bytes:4
11:33:52.0 (180754119)|HEAP_ALLOCATE|[3]|Bytes:7
11:33:52.0 (181904605)|SOQL_EXECUTE_BEGIN|[3]|Aggregations:0|SELECT Id, Contact__c, Type__c, Status__c, DueDate__c, Points__c FROM HTask__c WHERE Id IN :tmpVar1
11:33:52.0 (189526698)|SOQL_EXECUTE_END|[3]|Rows:1
11:33:52.0 (189579475)|HEAP_ALLOCATE|[3]|Bytes:8
11:33:52.0 (189610129)|HEAP_ALLOCATE|[3]|Bytes:148
11:33:52.0 (189688922)|HEAP_ALLOCATE|[3]|Bytes:8
11:33:52.0 (189753886)|HEAP_ALLOCATE|[3]|Bytes:24
11:33:52.0 (189851831)|VARIABLE_ASSIGNMENT|[3]|this.task|{"Id":"a00f4000009W3eLAAS","Contact__c":"003f400000Pu06nAAB","Type__c":"Daily","Status__c":"Completed","Points__c":2.50}|0x7c5d8e8e
11:33:52.0 (189868541)|STATEMENT_EXECUTE|[5]
11:33:52.0 (189877439)|HEAP_ALLOCATE|[5]|Bytes:59
11:33:52.0 (189910602)|HEAP_ALLOCATE|[5]|Bytes:4
11:33:52.0 (190240393)|SOQL_EXECUTE_BEGIN|[5]|Aggregations:0|SELECT Id, Name, Points__c FROM Contact WHERE Id = :tmpVar1
11:33:52.0 (196126487)|SOQL_EXECUTE_END|[5]|Rows:1
11:33:52.0 (196163994)|HEAP_ALLOCATE|[5]|Bytes:8
11:33:52.0 (196183779)|HEAP_ALLOCATE|[5]|Bytes:98
11:33:52.0 (196246932)|HEAP_ALLOCATE|[5]|Bytes:8
11:33:52.0 (196294850)|HEAP_ALLOCATE|[5]|Bytes:16
11:33:52.0 (196358541)|VARIABLE_ASSIGNMENT|[5]|this.conta|{"Id":"003f400000Pu06nAAB","Name":"TestContact1","Points__c":10}|0x7c5d8e8e
11:33:52.0 (196418885)|HEAP_ALLOCATE|[7]|Bytes:5
11:33:52.0 (196461003)|STATEMENT_EXECUTE|[21]
11:33:52.0 (196464524)|STATEMENT_EXECUTE|[22]
11:33:52.0 (196468007)|HEAP_ALLOCATE|[22]|Bytes:1
11:33:52.0 (196516616)|USER_DEBUG|[22]|DEBUG|1
11:33:52.0 (196681134)|STATEMENT_EXECUTE|[23]
11:33:52.0 (196684760)|STATEMENT_EXECUTE|[24]
11:33:52.0 (196688818)|HEAP_ALLOCATE|[24]|Bytes:1
11:33:52.0 (196712289)|USER_DEBUG|[24]|DEBUG|2
11:33:52.0 (196724222)|STATEMENT_EXECUTE|[25]
11:33:52.0 (196879194)|HEAP_ALLOCATE|[25]|Bytes:28
11:33:52.0 (196970292)|VARIABLE_ASSIGNMENT|[25]|this.Points__c|12.50|0x6ef68716
11:33:52.0 (196978770)|STATEMENT_EXECUTE|[27]
11:33:52.0 (197012131)|HEAP_ALLOCATE|[27]|Bytes:8
11:33:52.0 (197026150)|DML_BEGIN|[27]|Op:Update|Type:Contact|Rows:1
11:33:52.0 (197057889)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (201859609)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
11:33:52.0 (201881104)|DUPLICATE_DETECTION_BEGIN
11:33:52.0 (201939822)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:UPDATE
11:33:52.0 (201999057)|DUPLICATE_DETECTION_END
11:33:52.0 (202004518)|CODE_UNIT_FINISHED|DuplicateDetector
11:33:52.0 (219670381)|DML_END|[27]
11:33:52.219 (219721144)|CUMULATIVE_LIMIT_USAGE
11:33:52.219 (219721144)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

11:33:52.219 (219721144)|TESTING_LIMITS
11:33:52.219 (219721144)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 4 out of 100
  Number of query rows: 4 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 4 out of 150
  Number of DML rows: 4 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

11:33:52.219 (219721144)|CUMULATIVE_LIMIT_USAGE_END

11:33:52.0 (220789041)|CODE_UNIT_FINISHED|completeHTaskTrigger on HTask trigger event AfterUpdate
11:33:52.0 (221163724)|DML_END|[16]
11:33:52.0 (221185157)|STATEMENT_EXECUTE|[18]
11:33:52.0 (221194108)|HEAP_ALLOCATE|[18]|Bytes:65
11:33:52.0 (221220890)|HEAP_ALLOCATE|[18]|Bytes:4
11:33:52.0 (221414065)|SOQL_EXECUTE_BEGIN|[18]|Aggregations:0|SELECT Id, Points__c FROM Contact WHERE LastName = 'TestContact1'
11:33:52.0 (236846700)|SOQL_EXECUTE_END|[18]|Rows:1
11:33:52.0 (236887628)|HEAP_ALLOCATE|[18]|Bytes:8
11:33:52.0 (236911640)|HEAP_ALLOCATE|[18]|Bytes:78
11:33:52.0 (236972008)|HEAP_ALLOCATE|[18]|Bytes:8
11:33:52.0 (237018593)|HEAP_ALLOCATE|[18]|Bytes:12
11:33:52.0 (237038018)|VARIABLE_SCOPE_BEGIN|[18]|cont1After|Contact|true|false
11:33:52.0 (237087142)|VARIABLE_ASSIGNMENT|[18]|cont1After|{"Id":"003f400000Pu06nAAB","Points__c":12.5}|0x5d377544
11:33:52.0 (237095721)|STATEMENT_EXECUTE|[19]
11:33:52.0 (237118556)|METHOD_ENTRY|[19]||System.Test.stopTest()
11:33:52.0 (238359103)|METHOD_EXIT|[19]||System.Test.stopTest()
11:33:52.0 (238370965)|STATEMENT_EXECUTE|[20]
11:33:52.0 (238482761)|HEAP_ALLOCATE|[20]|Bytes:28
11:33:52.0 (238510346)|HEAP_ALLOCATE|[20]|Bytes:28
11:33:52.238 (238548697)|CUMULATIVE_LIMIT_USAGE
11:33:52.238 (238548697)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 0 out of 100
  Number of query rows: 0 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 0 out of 150
  Number of DML rows: 0 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

11:33:52.238 (238548697)|TESTING_LIMITS
11:33:52.238 (238548697)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 5 out of 100
  Number of query rows: 5 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 4 out of 150
  Number of DML rows: 4 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

11:33:52.238 (238548697)|CUMULATIVE_LIMIT_USAGE_END

11:33:52.0 (238591601)|CODE_UNIT_FINISHED|CompleteHTaskTriggerTest.completeDailyTask
11:33:52.0 (239913248)|EXECUTION_FINISHED
11:33:52.304 (304916280)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
11:33:52.304 (304944475)|EXECUTION_STARTED
11:33:52.304 (304949362)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRc|CompleteHTaskTriggerTest.completeTODOTask
11:33:52.304 (305130082)|HEAP_ALLOCATE|[72]|Bytes:3
11:33:52.304 (305175598)|HEAP_ALLOCATE|[77]|Bytes:152
11:33:52.304 (305197776)|HEAP_ALLOCATE|[342]|Bytes:408
11:33:52.304 (305222520)|HEAP_ALLOCATE|[355]|Bytes:408
11:33:52.304 (305242721)|HEAP_ALLOCATE|[467]|Bytes:48
11:33:52.304 (305272310)|HEAP_ALLOCATE|[139]|Bytes:6
11:33:52.304 (305288022)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:67
11:33:52.304 (305298624)|METHOD_ENTRY|[2]|01pf400000GkBRc|CompleteHTaskTriggerTest.CompleteHTaskTriggerTest()
11:33:52.304 (305305070)|STATEMENT_EXECUTE|[2]
11:33:52.304 (305310352)|STATEMENT_EXECUTE|[2]
11:33:52.304 (305315286)|METHOD_EXIT|[2]|CompleteHTaskTriggerTest
11:33:52.304 (305480019)|HEAP_ALLOCATE|[50]|Bytes:5
11:33:52.304 (305501800)|HEAP_ALLOCATE|[56]|Bytes:5
11:33:52.304 (305508998)|HEAP_ALLOCATE|[64]|Bytes:7
11:33:52.304 (305550388)|STATEMENT_EXECUTE|[23]
11:33:52.304 (305553160)|STATEMENT_EXECUTE|[24]
11:33:52.304 (305563438)|HEAP_ALLOCATE|[24]|Bytes:63
11:33:52.304 (305571367)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
11:33:52.304 (305575879)|STATEMENT_EXECUTE|[1]
11:33:52.304 (305583491)|SYSTEM_METHOD_EXIT|[1]|Test
11:33:52.304 (305594903)|METHOD_ENTRY|[24]||System.Test.startTest()
11:33:52.304 (306895103)|METHOD_EXIT|[24]||System.Test.startTest()
11:33:52.304 (306907002)|STATEMENT_EXECUTE|[25]
11:33:52.304 (306957475)|HEAP_ALLOCATE|[25]|Bytes:4
11:33:52.304 (306976738)|HEAP_ALLOCATE|[25]|Bytes:12
11:33:52.304 (307048651)|VARIABLE_ASSIGNMENT|[25]|this.LastName|"TestContact1"|0x70b456ce
11:33:52.304 (307099691)|HEAP_ALLOCATE|[25]|Bytes:28
11:33:52.304 (307107325)|HEAP_ALLOCATE|[25]|Bytes:28
11:33:52.304 (307146540)|VARIABLE_ASSIGNMENT|[25]|this.Points__c|10|0x70b456ce
11:33:52.304 (307190140)|VARIABLE_SCOPE_BEGIN|[25]|cont1|Contact|true|false
11:33:52.304 (307220723)|VARIABLE_ASSIGNMENT|[25]|cont1|{"LastName":"TestContact1","Points__c":10}|0x70b456ce
11:33:52.304 (307229989)|STATEMENT_EXECUTE|[26]
11:33:52.304 (307263237)|HEAP_ALLOCATE|[26]|Bytes:8
11:33:52.304 (307279513)|DML_BEGIN|[26]|Op:Upsert|Type:Contact|Rows:1
11:33:52.304 (307325157)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.304 (309267730)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
11:33:52.304 (309288359)|DUPLICATE_DETECTION_BEGIN
11:33:52.304 (309365723)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
11:33:52.304 (326737323)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:33:52.304 (326772384)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:33:52.304 (326785324)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:33:52.304 (326792931)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:33:52.304 (326986098)|DUPLICATE_DETECTION_END
11:33:52.304 (326994429)|CODE_UNIT_FINISHED|DuplicateDetector
11:33:52.304 (347928639)|DML_END|[26]
11:33:52.304 (347961484)|STATEMENT_EXECUTE|[28]
11:33:52.304 (347974586)|HEAP_ALLOCATE|[28]|Bytes:71
11:33:52.304 (348018658)|HEAP_ALLOCATE|[28]|Bytes:4
11:33:52.304 (348282385)|SOQL_EXECUTE_BEGIN|[28]|Aggregations:0|SELECT Id, Name, Points__c FROM Contact WHERE LastName = 'TestContact1'
11:33:52.304 (368333816)|SOQL_EXECUTE_END|[28]|Rows:1
11:33:52.304 (368376138)|HEAP_ALLOCATE|[28]|Bytes:8
11:33:52.304 (368401586)|HEAP_ALLOCATE|[28]|Bytes:98
11:33:52.304 (368490575)|HEAP_ALLOCATE|[28]|Bytes:8
11:33:52.304 (368520283)|HEAP_ALLOCATE|[28]|Bytes:33
11:33:52.304 (368555609)|HEAP_ALLOCATE|[28]|Bytes:16
11:33:52.304 (368573606)|VARIABLE_SCOPE_BEGIN|[28]|cont1Before|Contact|true|false
11:33:52.304 (368619540)|VARIABLE_ASSIGNMENT|[28]|cont1Before|{"Id":"003f400000Pu06oAAB","Name":"TestContact1","Points__c":10}|0x68cd88e9
11:33:52.304 (368629427)|STATEMENT_EXECUTE|[30]
11:33:52.304 (368663837)|HEAP_ALLOCATE|[30]|Bytes:4
11:33:52.304 (368686296)|HEAP_ALLOCATE|[30]|Bytes:9
11:33:52.304 (368728722)|VARIABLE_ASSIGNMENT|[30]|this.Name|"TestTask2"|0x5ed61051
11:33:52.304 (368737330)|HEAP_ALLOCATE|[30]|Bytes:18
11:33:52.304 (368758629)|HEAP_ALLOCATE|[30]|Bytes:4
11:33:52.304 (368786175)|VARIABLE_ASSIGNMENT|[30]|this.RecordTypeId|"012f4000000FSbYAAW"|0x5ed61051
11:33:52.304 (368793692)|HEAP_ALLOCATE|[30]|Bytes:5
11:33:52.304 (368813424)|VARIABLE_ASSIGNMENT|[30]|this.Type__c|"TO-DO"|0x5ed61051
11:33:52.304 (368819854)|HEAP_ALLOCATE|[30]|Bytes:3
11:33:52.304 (368832998)|VARIABLE_ASSIGNMENT|[30]|this.Status__c|"New"|0x5ed61051
11:33:52.304 (368871720)|VARIABLE_ASSIGNMENT|[30]|this.Contact__c|"003f400000Pu06oAAB"|0x5ed61051
11:33:52.304 (368878849)|HEAP_ALLOCATE|[30]|Bytes:4
11:33:52.304 (368892455)|VARIABLE_ASSIGNMENT|[30]|this.Difficulty__c|"Hard"|0x5ed61051
11:33:52.304 (368926432)|VARIABLE_SCOPE_BEGIN|[30]|task|HTask__c|true|false
11:33:52.304 (368945548)|VARIABLE_ASSIGNMENT|[30]|task|{"Name":"TestTask2","RecordTypeId":"012f4000000FSbYAAW","Type__c":"TO-DO","Status__c":"New","Contact__c":"003f400000Pu06oAAB","Difficulty__c":"Hard"}|0x5ed61051
11:33:52.304 (368952746)|STATEMENT_EXECUTE|[31]
11:33:52.304 (368986288)|HEAP_ALLOCATE|[31]|Bytes:8
